# bin x_uniform uniform1 uniform2 x_gaussian gaussian1 gaussian2 
    1     0.01     183     203     -2.94        11      10
    2     0.03     219     205     -2.82        10       7
    3     0.05     199     234      -2.7        14      19
    4     0.07     216     197     -2.58        16      14
    5     0.09     189     186     -2.46        19      33
    6     0.11     201     187     -2.34        34      32
    7     0.13     200     204     -2.22        39      43
    8     0.15     202     194      -2.1        49      67
    9     0.17     210     194     -1.98        65      69
   10     0.19     200     212     -1.86        98      72
   11     0.21     213     181     -1.74       104      95
   12     0.23     200     171     -1.62       133     129
   13     0.25     214     209      -1.5       177     169
   14     0.27     196     210     -1.38       186     179
   15     0.29     190     190     -1.26       193     210
   16     0.31     209     181     -1.14       250     273
   17     0.33     191     199     -1.02       277     275
   18     0.35     227     212      -0.9       300     321
   19     0.37     202     208     -0.78       359     379
   20     0.39     188     186     -0.66       393     415
   21     0.41     199     241     -0.54       426     428
   22     0.43     165     227     -0.42       417     429
   23     0.45     211     183      -0.3       489     415
   24     0.47     236     186     -0.18       435     473
   25     0.49     201     180     -0.06       484     493
   26     0.51     199     186      0.06       478     502
   27     0.53     199     209      0.18       478     477
   28     0.55     198     224       0.3       452     444
   29     0.57     208     205      0.42       453     422
   30     0.59     192     198      0.54       418     391
   31     0.61     231     218      0.66       387     402
   32     0.63     215     205      0.78       339     309
   33     0.65     203     184       0.9       326     300
   34     0.67     196     212      1.02       282     298
   35     0.69     213     198      1.14       246     235
   36     0.71     192     192      1.26       238     228
   37     0.73     190     176      1.38       193     180
   38     0.75     194     198       1.5       165     141
   39     0.77     189     198      1.62       122     115
   40     0.79     187     218      1.74       113     114
   41     0.81     184     188      1.86        76     101
   42     0.83     209     204      1.98        58      66
   43     0.85     203     214       2.1        50      54
   44     0.87     171     214      2.22        28      41
   45     0.89     197     197      2.34        30      37
   46     0.91     202     204      2.46        26      27
   47     0.93     188     184      2.58        17      15
   48     0.95     179     217       2.7        18      15
   49     0.97     201     188     2.82001        11      14
   50     0.99     199     189     2.94001         3       2
